Ref,X,Y,R,Side,Type
D1,11.5,34.5,90,Top,THT
D2,28.5,34.5,90,Top,THT
H1,7,98.5,0,Bottom,THT
H2,7,68.5,0,Bottom,THT
H3,7,27.5,0,Bottom,THT
H4,33,27.5,0,Bottom,THT
J1,7.5,106,90,Top,THT
J2,7.5,91,90,Top,THT
J3,7.5,76,90,Top,THT
J4,7.5,61,90,Top,THT
J5,7.5,46,90,Top,THT
J6,7.5,17,180,Top,THT
J7,20,17,180,Top,THT
J8,32.5,17,180,Top,THT
J9,7.5,4.5,90,Top,THT
J10,32.5,4.5,270,Top,THT
P1,32.5,106,180,Top,THT
P2,20,98.5,180,Top,THT
P3,32.5,91,180,Top,THT
P4,20,83.5,180,Top,THT
P5,32.5,76,180,Top,THT
P6,20,68.5,180,Top,THT
P7,32.5,61,180,Top,THT
P8,20,53.5,180,Top,THT
P9,32.5,46,180,Top,THT
P10,20,38.5,180,Top,THT
S1,5.5,34.5,0,Top,THT
S2,34.5,34.5,0,Top,THT
