Ref,Qty,Desc,Mfg,MPN
C1 C2 C5 C12 C13 C15 C16 C18 C19 C21 C22 C26 C33 C34 C35 C36 C44 C47,18,CAP CER 0.1UF 16V X7R 0603,Samsung Electro-Mechanics,CL10B104KO8NNWC
C3 C9,2,CAP CER 2.2UF 10V X7R 0603,TDK Corporation,C1608X7R1A225M080AC
C4 C7 C20 C25 C32 C40,6,CAP CER 18PF 50V C0G/NPO 0603,YAGEO,CC0603FPNPO9BN180
C6 C11 C17 C23,4,CAP CER 1UF 25V X7R 0603,Taiyo Yuden,TMK107B7105KA-T
C8 C10 C14 C24 C27 C28 C41 C42,8,CAP ALUM 10UF 20% 25V SMD,Würth Elektronik,865230440002
C29 C30 C31 C38,4,CAP CER 10000PF 50V C0G 0603,TDK Corporation,C1608C0G1H103J080AA
C37 C39,2,CAP CER 2200PF 50V C0G 0603,TDK Corporation,C1608C0G1H222J080AA
C43,1,CAP CER 220PF 50V C0G/NPO 0603,YAGEO,CC0603FPNPO9BN221
C45 C46 C49,3,CAP ALUM 47UF 20% 25V SMD,Würth Elektronik,865230445005
C48,1,CAP ALUM 22UF 20% 25V SMD,Würth Elektronik,865230443003
D1,1,DIODE ARR SCHOTT 30V 200MA SOT23,Toshiba Semiconductor and Storage,"TBAT54S,LM"
D2 D3,2,DIODE SCHOTTKY 40V 1A SOD123,Diodes Incorporated,1N5819HW-7-F
H1 H2 H3 H4,4,CONN HDR 10POS 0.1 GOLD PCB,Sullins Connector Solutions,PPPC052LFBN-RC
H5,1,CONN HEADER VERT 10POS 1.27MM,CNC Tech,3220-10-0100-00
H6,1,DO NOT POPULATE,DNP,DNP
H7,1,CONN HEADER VERT 10POS 2.54MM,On Shore Technology Inc.,302-S101
L1 L2 L3,3,FERRITE BEAD 1K OHM 0603 1LN,Würth Elektronik,742792664
Q1,1,TRANS NPN 40V 0.2A SOT23-3,Diodes Incorporated,MMBT3904-7-F
R1 R11,2,RES SMD 10K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF1002V
R2 R3,2,RES SMD 100 OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF1000V
R4,1,RES 3.3M OHM 0.1% 1/4W 1206,Susumu,RG3216P-3304-B-T1
R5 R6 R48,3,RES SMD 2.2K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF2201V
R7 R45,2,RES SMD 36K OHM 0.1% 1/10W 0603,Susumu,RG1608P-363-B-T5
R8 R9 R10 R18 R26 R38 R39 R40,8,RES SMD 100K OHM 0.1% 1/10W 0603,Susumu,RG1608P-104-B-T5
R12 R13 R14 R35 R36,5,RES SMD 120K OHM 0.1% 1/10W 0603,Susumu,RG1608P-124-B-T5
R15 R16 R17 R32 R33,5,RES SMD 20K OHM 0.1% 1/10W 0603,Susumu,RG1608P-203-B-T5
R19 R21 R23 R25 R29 R31 R34,7,RES SMD 47K OHM 0.1% 1/10W 0603,Susumu,RG1608P-473-B-T5
R20 R30 R46,3,RES SMD 6.8K OHM 0.1% 1/10W 0603,Susumu,RG1608P-682-B-T5
R22 R24,2,RES SMD 1K OHM 0.1% 1/10W 0603,Susumu,RG1608P-102-B-T5
R27,1,RES SMD 1M OHM 0.1% 1/4W 1206,Susumu,RG3216P-1004-B-T1
R28,1,RES SMD 470K OHM 0.1% 1/4W 1206,Susumu,RG3216P-4703-B-T1
R37,1,RES SMD 180K OHM 0.1% 1/10W 0603,Susumu,RG1608P-184-B-T5
R41 R42 R43 R44,4,RES SMD 180 OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF1800V
R47,1,RES SMD 4.7 OHM 5% 1/4W 1206,Panasonic Electronic Components,ERJ-8GEYJ4R7V
U1,1,IC MCU 32BIT 1MB FLASH 64LQFP,STMicroelectronics,STM32F405RGT6
U2,1,IC MUX 8:1 120OHM 16TSSOP,Nexperia USA Inc.,"74HC4051PW,118"
U3,1,IC CODEC AUDIO LOW POWER 28LFCSP,Analog Devices Inc.,SSM2603CPZ-REEL7
U4,1,IC OPAMP GP 4 CIRCUIT 14TSSOP,Microchip Technology,MCP6004T-E/ST
U5,1,IC OPAMP GP 2 CIRCUIT 8MSOP,Microchip Technology,MCP6002T-I/MS
U6,1,IC OPAMP JFET 2 CIRCUIT 8TSSOP,Texas Instruments,TL072CPWR
U7,1,IC REG LINEAR 3.3V 800MA SOT223,Texas Instruments,LM1117IMP-3.3/NOPB
U8,1,IC VREF SHUNT 0.5% SOT23-3,Texas Instruments,LM4040C10IDBZR
X1,1,CRYSTAL 8.0000MHZ 18PF SMD,Abracon LLC,ABM3-8.000MHZ-D2Y-T
X2,1,CRYSTAL 12.2880MHZ 18PF SMD,Abracon LLC,ABM3-12.288MHZ-D2Y-T
