Ref,X,Y,R,Side,Type
FIDUCIAL,37.5,105.5,0,Top,MARK
FIDUCIAL,2,75,0,Top,MARK
FIDUCIAL,37,3,0,Top,MARK
C1,34.5,100.5,180,Top,SMD
C2,17.25,96.5,270,Top,SMD
C3,29,94,180,Top,SMD
C4,11.5,91,90,Top,SMD
C5,30.5,88.5,90,Top,SMD
C6,32.5,88.5,90,Top,SMD
C7,11.5,87.5,90,Top,SMD
C8,36,87,90,Top,SMD
C9,31.5,85.5,180,Top,SMD
C10,5,83,0,Top,SMD
C11,9.5,83,270,Top,SMD
C12,11.5,83,270,Top,SMD
C13,28,81,180,Top,SMD
C14,35.75,80.25,180,Top,SMD
C15,16,80,90,Top,SMD
C16,34.25,76.75,0,Top,SMD
C17,37.5,76.75,180,Top,SMD
C18,6.5,76.5,90,Top,SMD
C19,37.5,75,180,Top,SMD
C20,37.5,73.25,180,Top,SMD
C21,21.5,72,0,Top,SMD
C22,21.5,70,0,Top,SMD
C23,22,67.5,90,Top,SMD
C24,18.5,66,90,Top,SMD
C25,37.5,64.75,180,Top,SMD
C26,30.5,61,90,Top,SMD
C27,27,59.5,90,Top,SMD
C28,20,56.5,180,Top,SMD
C29,3.5,53.5,180,Top,SMD
C30,7,53.5,0,Top,SMD
C31,10.5,53.5,0,Top,SMD
C32,16.5,52,270,Top,SMD
C33,8,48,90,Top,SMD
C34,13,48,270,Top,SMD
C35,16,46.5,0,Top,SMD
C36,24,46.5,0,Top,SMD
C37,3.5,42.5,180,Top,SMD
C38,7,42.5,0,Top,SMD
C39,10.5,42.5,0,Top,SMD
C40,16.5,41,90,Top,SMD
C41,20,36.5,180,Top,SMD
C42,20,30.5,0,Top,SMD
C43,22,26,90,Top,SMD
C44,17,21.75,270,Top,SMD
C45,10,21,0,Top,SMD
C46,30,21,180,Top,SMD
C47,3.5,12,0,Top,SMD
C48,10,5,0,Top,SMD
C49,30,5,0,Top,SMD
D1,33,46.75,270,Top,SMD
D2,10,12.5,180,Top,SMD
D3,30,12.5,180,Top,SMD
H1,7,98.5,0,Top,THT
H2,7,68.5,0,Top,THT
H3,7,27.5,0,Top,THT
H4,33.5,27.5,0,Top,THT
H5,30.5,106.5,270,Bottom,THT
H6,38,97.5,270,Bottom,THT
H7,20,10.5,270,Bottom,THT
L1,10,15,180,Top,SMD
L2,10.5,10,0,Top,SMD
L3,29.5,10,180,Top,SMD
Q1,34.5,56.5,90,Top,SMD
R1,34.5,102.5,0,Top,SMD
R2,34.5,98.5,180,Top,SMD
R3,34.5,96.5,180,Top,SMD
R4,4.5,94,180,Top,SMD
R5,21.5,75.5,180,Top,SMD
R6,21.5,73.75,180,Top,SMD
R7,37.5,63,180,Top,SMD
R8,3.5,59.5,0,Top,SMD
R9,7,59.5,180,Top,SMD
R10,10.5,59.5,180,Top,SMD
R11,34.5,59.5,0,Top,SMD
R12,3.5,57.5,0,Top,SMD
R13,7,57.5,180,Top,SMD
R14,10.5,57.5,180,Top,SMD
R15,3.5,55.5,180,Top,SMD
R16,7,55.5,0,Top,SMD
R17,10.5,55.5,0,Top,SMD
R18,34.5,53.5,0,Top,SMD
R19,18.5,52,270,Top,SMD
R20,21.5,52,270,Top,SMD
R21,23.5,52,90,Top,SMD
R22,16,49,180,Top,SMD
R23,24,49,180,Top,SMD
R24,16,44,180,Top,SMD
R25,24,44,180,Top,SMD
R26,30.5,42.5,270,Top,SMD
R27,32.75,41.75,270,Top,SMD
R28,35.5,41.75,270,Top,SMD
R29,18.5,41,90,Top,SMD
R30,21.5,41,90,Top,SMD
R31,23.5,41,270,Top,SMD
R32,3.5,40.5,180,Top,SMD
R33,7,40.5,0,Top,SMD
R34,10.5,40.5,0,Top,SMD
R35,3.5,38.5,0,Top,SMD
R36,7,38.5,180,Top,SMD
R37,10.5,38.5,180,Top,SMD
R38,3.5,36.5,0,Top,SMD
R39,7,36.5,180,Top,SMD
R40,10.5,36.5,180,Top,SMD
R41,27,32,270,Top,SMD
R42,29,32,270,Top,SMD
R43,31,32,270,Top,SMD
R44,33,32,270,Top,SMD
R45,18,26,90,Top,SMD
R46,20,26,90,Top,SMD
R47,30,15.5,180,Top,SMD
R48,7,10,0,Top,SMD
U1,21.5,87.5,270,Top,SMD
U2,10,76.5,0,Top,SMD
U3,28.5,68.25,225,Top,SMD
U4,4.5,48,180,Top,SMD
U5,10.5,48,180,Top,SMD
U6,20,46.5,0,Top,SMD
U7,20,18,0,Top,SMD
U8,3,9,90,Top,SMD
X1,8.5,88.5,90,Top,SMD
X2,37.5,69,270,Top,SMD
